International_data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.eia.gov/international/data/world/electricity/electricity-generation?pd=2&p=000000000000000000000080000000g&u=0&f=A&v=mapbubble&a=-&i=none&vo=value&t=G&g=000000000000008&l=71-0028g000017kg6940080a44000e02000g00004g8001o&l=275-00000008010000008000000000008g000g000000g0g000g0004&l=164-10002000000000020g00000000000000000000000000000000000008&l=170--110&s=315532800000&e=1577836800000&,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report generated on: 12-09-2021 14:27:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: U.S. Energy Information Administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
"In order to make the different generation data consistent throughout trend and time development, we have scaled the generation data by 2020 capacities.",Electricity,Billion Kwh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
For the Baltic countries we have fixed capacities and generation data from 1991 for all the preceding years.,Generation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Germany before 1990 is just the sum of generation (and sum of capacities) of West and East Germany.,Renewables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Czech Republic and Slovakia before 1993 are distributed according to share of capacities in 1993.,Hydroelectricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Iceland,Billion Kwh,11.6854275229358,10.463918699187,9.4132476821192,9.91333509933775,10.3277721854305,10.1316052980132,10.6121111111111,10.8107777777778,11.5033518518519,11.6357962962963,11.484037037037,11.1449704749679,10.126236632537,10.4917019340159,10.5479864253394,10.9373416289593,11.1473574660633,11.6502534994583,12.1428765690377,12.2922066929134,12.3356315789474,12.2489017132552,12.4744606060606,12.6731272727273,12.6684591573517,12.4639845227859,12.9500601891659,9.86044368600683,13.6583597658329,13.5239552,13.8586617100372,13.7095817409766,13.5740031965903,13.4023397177419,13.1994173387097,14.2156648213387,13.7442939104177,14.5256701754386,13.5942801333969,13.2418862601239,12.46
,Ireland,Billion Kwh,0.88134375,0.904620535714286,0.83424,0.817386666666667,0.713097345132743,0.864106194690265,0.975882352941176,0.718472972972973,0.920243243243243,0.730216216216216,0.733318385650224,0.773920353982301,0.84837610619469,0.793845132743363,0.951132158590309,0.737101321585903,0.730409482758621,0.682743090128755,0.922570815450644,0.841550847457627,0.841550847457627,0.587521008403361,0.8917125,0.5846,0.6162,0.63301282051282,0.726192307692308,0.668461538461538,0.971294871794872,0.904448717948718,0.593,0.699,0.795,0.593,0.701,0.798,0.674,0.685,0.687,0.87813,1.21
,Italy,Billion Kwh,42.3869124225957,40.4537648103514,36.4074259643302,35.657324379562,51.3716985040276,49.7946815789474,48.7682106449795,46.8160353839968,47.9692789115646,39.9784391488005,37.0981942457479,49.1181717617397,48.9720415159616,47.8098207694714,51.2369788557214,43.0128688676335,47.7287665205016,47.0149577917305,46.589497932302,49.9018549601252,48.7279710209874,51.3437458382878,43.0239359740356,36.2315641830256,45.3164711001523,38.3228976241901,40.3600378474276,35.6834232667796,44.7359420332071,52.4502405438635,53.8740303377218,47.6501085859226,43.1434397905759,53.8873145205479,59.5657639183786,45.9445542821985,41.7750979547729,35.3602584605202,47.4274423685944,43.3552154219342,47.72
,Kosovo,Billion Kwh,0.413525161290322,0.36864768,0.364108053007136,0.337974176010873,0.369455057939242,0.332748812351544,0.356704487722269,0.323606823720552,0.309023475409836,0.278370023419204,0.244150013539128,0.235779582994855,0.459182222222222,0.42504,0.450432,0.493569777777778,0.583320888888889,0.516672,0.521864888888889,0.530642857142857,0.47602787456446,0.493898954703833,0.466130662020906,0.390759581881533,0.459165911151405,0.496783318223028,0.585150692541099,0.535664894682718,0.16046511627907,0.254604651162791,0.314844444444444,0.208,0.19,0.284,0.298,0,0,0,0,0,0
,Latvia,Billion Kwh,2.6263162108072,2.6263162108072,2.6263162108072,2.6263162108072,2.6263162108072,2.6263162108072,2.6263162108072,2.6263162108072,2.6263162108072,2.6263162108072,2.6263162108072,2.6263162108072,2.6263162108072,2.98224468085106,3.42408499335989,3.01315450361604,1.90757133464826,3.0968876933423,3.10628872775214,2.82396848325673,2.88812606697308,2.82471565495208,2.45513610223642,2.29991411841249,3.15815625,3.37875520833333,2.74055729166667,2.77646875,3.15815625,3.51111458333333,3.488,2.857,3.677,2.81832892249527,1.93824181360202,1.82708816120907,2.54235805626598,4.38942199488491,2.43398849840256,2.10158844728435,2.59
,Lithuania,Billion Kwh,0.337056603773585,0.337056603773585,0.337056603773585,0.337056603773585,0.337056603773585,0.337056603773585,0.337056603773585,0.337056603773585,0.337056603773585,0.337056603773585,0.337056603773585,0.337056603773585,0.337056603773585,0.425698113207547,0.480111111111111,0.396333333333333,0.346925925925926,0.312555555555556,0.443592592592593,0.423607142857143,0.348,0.330548672566372,0.394174757281553,0.343743119266055,0.439745454545455,0.442379384615385,0.389641025641026,0.420626086956522,0.401460869565217,0.42,0.535,0.475,0.419,0.516,0.391623931623932,0.343042735042735,0.446153846153846,0.591897435897436,0.423350427350427,0.339612307692308,1.06
,Luxembourg,Billion Kwh,0.100827586206897,0.111379310344828,0.09848275862069,0.0881875,0.0935,0.0754375,0.08925,0.1073125,0.1030625,0.0765,0.07,0.083,0.069,0.066,0.117,0.087,0.059,0.07148717948718,0.099384615384615,0.073230769230769,0.10374358974359,0.117,0.098,0.078,0.103,0.093,0.11,0.116,0.131,0.105,0.104,0.061,0.095,0.114,0.104,0.095,0.111,0.079657142857143,0.089,0.10593,1.09
,Macedonia,Billion Kwh,3.02952129032258,2.70074496,2.6674872579001,2.47602820251444,2.70665988098966,2.43774673396675,2.61324809483489,2.37077173030057,2.26393285245902,2.03936299765808,1.78866422962361,1.72734172759274,1.29262441314554,0.817976525821596,1.13584503631961,1.26355082742317,1.34162647754137,1.38371889400922,1.66481105990783,2.13635315813739,1.79836866359447,0.958440366972477,1.15785779816514,2.04607142857143,1.91619767441861,1.84351481481482,2.02076330275229,1.23443223443223,1.01588405797101,1.53203978300181,2.9230954954955,1.72015467625899,1.16788907563025,1.75262354892206,1.30539708265802,1.96867721518987,1.91783636363636,1.099,1.773,1.15236,1.24
,Malta,Billion Kwh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Montenegro,Billion Kwh,6.96879793548387,6.212514816,6.1360122324159,5.6955995922528,6.22612088944566,5.60754085510689,6.01124606265876,5.45347847278635,5.20771735081967,4.69114004683841,4.11445848903331,3.97339853777417,3.28415111111111,3.03996,3.221568,3.53009688888889,4.17201244444445,3.695328,3.73246844444445,3.79525,3.40463414634146,3.5324512195122,3.33384756097561,2.79478048780488,3.28403445149592,3.55308068902992,1.733,1.271,1.524,2.05,2.723,1.192,1.462,2.50565591397849,1.75264516129032,1.49187096774194,1.84462365591398,1.02333128834356,2.11112033742331,1.79638036809816,1.8
