scenario,year,B,C,I,E,sense,slack,horizon,h2prod,imports,system_cost,obj_bound_dual,h2price,h2value,co2seq,dac,captured_co2,elec_cap,elec_cf,total_onwind,total_offwind,total_solar,total_nuclear,total_h2_storage
1987aaaa,1987,a,a,a,a,min,0.05,2045,26.531796550295574,884.304779024933,1071539943652.3182,,93.45740166787084,79774536141.14044,200000000.0004979,35885463.83907632,352.24098815763557,220411.67823121403,0.7014143034580579,1102423.050868563,528384.913343037,2119424.0605587885,32937.57847992032,4217622.946260803
1987aaaa,1987,a,a,a,a,max,0.05,2045,50.805614035982515,634.4238595500796,1104595988107.4404,-35.93414040551318,3.0862925712554254,4891865646.675089,200000000.09775862,110808338.77088523,483.8120234773717,429749.71802726935,0.7026655619306151,971635.2696670401,630210.2944736476,2526898.1749589704,31807.901229973704,4404228.6123848185
1987aaaa,1987,a,a,a,a,min,0.1,2045,26.19933439613735,873.223815423069,1089686944434.4924,,93.25872905499656,77578314794.89539,200000000.00006756,38412264.74700385,357.8997780743447,208738.6738169033,0.7310925688174004,1080710.8907751923,534394.3625514893,2253980.8845976237,34553.08404716479,1784948.092953307
1987aaaa,1987,a,a,a,a,max,0.1,2045,65.34332232271636,250.33021118599078,1160013084181.344,-32.389527941528215,2.1947090502226656,4445069808.056547,199999999.40034765,141138649.0830511,563.4291487212787,549079.663522962,0.7095052128738278,1037374.6464867711,722507.0907016232,2720100.1944753435,31807.9034905569,7963794.079992315
1987aaaa,1987,a,a,a,a,min,0.02,2050,26.589020926632568,886.2120674849369,972793629487.9847,,90.13528184061562,78063524580.46007,275000000.0004982,96874424.45260829,418.769974102124,239709.48849850064,0.6471223990232096,1052185.2847838174,506683.2997384928,2132664.7855169983,31807.900186681465,4125504.1407752107
1987aaaa,1987,a,a,a,a,max,0.02,2050,43.876256014892434,670.7737362142979,998831512843.8892,-33.30124016407599,2.7487575434317035,3840620216.3178015,275000000.17385197,147487767.3581403,514.9967962766206,356006.86543617066,0.719345403048388,891006.9110764307,584701.6070720801,2610320.1637726305,31807.900492068784,3692943.2638838524
1987aaaa,1987,a,a,a,a,min,0.05,2050,25.274057565199097,842.3843386481834,993876198654.4551,,90.2323430890327,74560921332.8742,275000000.00047874,99677485.24636945,422.40800136499723,220411.67823121403,0.6681563023186486,1068904.7839271082,529763.6271725207,2212699.2669439507,32937.57765508783,4221176.061357298
1987aaaa,1987,a,a,a,a,max,0.05,2050,58.55845025960478,392.31889885571934,1034023295368.3464,-21.633627196538068,1.432292060827988,2595860374.9632206,274999999.9955548,166736079.63679704,581.2333361985047,443317.49193183193,0.7655913293408977,938915.8275128889,627851.2501043105,2863661.011191001,31807.90020822961,4827707.224569533
1987aaaa,1987,a,a,a,a,min,0.1,2050,24.68509893253586,822.7543474212385,1009995035041.3795,,90.15195016838801,72274889581.60788,275000000.0000231,101529831.3057853,426.58933320281295,208738.6738169033,0.6888378199699624,1050625.2473105586,531650.8773354036,2318453.1267646034,34553.08408189245,1795205.3755144684
1987aaaa,1987,a,a,a,a,max,0.1,2050,75.71767357351084,51.98198116965159,1089963333094.3497,-18.853898045224913,1.0942378775744304,2621602328.5848827,274999999.9918733,165045074.9961927,619.2590195613425,559967.002846851,0.7792101497544937,1018583.1016837959,722471.747948193,3065240.995730036,31807.900110826722,7974883.737752551
1987abaa,1987,a,b,a,a,min,0.02,2025,-0.0,3.979711765671882e-09,992264243753.6447,,61.25209051641131,-0.0,0.0,97.5867711138444,7.155019126274445,0.0,,387519.7303749846,62252.65529226997,407109.0430447499,99790.13100785189,38.55012718867443
1987abaa,1987,a,b,a,a,max,0.02,2025,3.824454689920452,2.082613499978629e-07,1006414078187.8727,-14.333665869494201,0.8725219821856902,108560568.9160861,-5.834877504675989,0.04417848853619955,7.154780082244252,24780.753711602687,0.9996599059581112,400930.2464809729,81694.70935434295,413841.45424972894,99790.10001515903,0.015529013294959869
1987abaa,1987,a,b,a,a,min,0.05,2025,-0.0,2.737950142908145e-10,992135591701.8912,,61.25381557684194,-0.0,0.0,7.189759060291427,7.154797378944434,0.0,,387522.1427410997,62254.0194536347,407105.12834831886,99790.10223105182,2.7934982231050745
1987abaa,1987,a,b,a,a,max,0.05,2025,9.16818237792688,9.746300624034332e-08,1028723749871.7488,-12.848880903438353,0.6590173909906274,187269117.48132318,-39.54867715113183,0.03871107889663632,7.154780140621515,59398.074819636364,0.9997885072120364,417733.05525432935,107717.4560205046,421057.5629100081,99790.10001340848,0.013307295150982074
1987abaa,1987,a,b,a,a,min,0.1,2025,-0.0,2.737950142908145e-10,992135591701.8912,,61.25381557684194,-0.0,0.0,7.189759060291427,7.154797378944434,0.0,,387522.1427410997,62254.0194536347,407105.12834831886,99790.10223105182,2.7934982231050745
1987abaa,1987,a,b,a,a,max,0.1,2025,17.10154143656982,7.367703906696934e-07,1065906536010.8495,-11.871414840755389,0.5092271130157574,269208798.27023405,-4.211620866716602,0.187451678097508,49.37701682145037,110806.98157499004,0.9996901146161481,455762.9611317794,133650.22046640993,438265.11145905964,99790.10005783652,0.06146284974722209
1987abaa,1987,a,b,a,a,min,0.02,2030,-0.0,7.844672866580464e-11,962606367740.7161,,88.03136430200102,-0.0,50000000.00011307,1.5608494520310658,57.15478378801682,0.0,,586274.5251146895,213930.66981782156,717305.5652695149,76584.00044589769,4516.203265013547
1987abaa,1987,a,b,a,a,max,0.02,2030,5.12874746941173,1.9063003659027746e-05,978390650449.7917,-17.488334974872302,1.339315359386816,211717273.82156113,49999999.99698257,1.9689610009979948,57.154787330427204,38032.90204828702,0.8541575251446916,587472.917144593,242404.56506634573,734932.1495212534,76584.00077269573,81710.11834745805
1987abaa,1987,a,b,a,a,min,0.05,2030,-0.0,2.098792195191534e-11,962607810274.6884,,87.99895130757537,-0.0,50000000.000020236,0.28329871136602347,57.15478062850093,0.0,,586274.3414109156,213931.68034200277,717312.4517579547,76584.00010612105,4408.278201535651
1987abaa,1987,a,b,a,a,max,0.05,2030,11.072281995136441,2.3376118323610035e-07,1002004367577.6533,-15.258600150674239,0.9487248000662899,338121907.5752631,49999999.9986888,0.02742542877112957,85.89790681506346,74953.3066445961,0.9448691381889953,594179.8805849932,280306.541058535,757483.6185433893,76584.00001106564,121810.13173655838
1987abaa,1987,a,b,a,a,min,0.1,2030,-0.0,2.7822434714166018e-11,962607809321.3477,,87.99896860000185,-0.0,50000000.000038214,0.5290012351807417,57.154781241245104,0.0,,586274.3671750443,213931.67316466477,717312.3134147997,76584.00017019873,4408.222157874488
1987abaa,1987,a,b,a,a,max,0.1,2030,19.70677403577389,3.630916708997503e-07,1041447768146.3042,-14.568639455920376,0.8543831457031763,550903682.9650193,49999999.99889762,0.04757551748420623,142.15531982321403,128786.82208366088,0.9830921071561917,617742.0906790202,324497.71768046997,791005.417884574,76584.00001772221,49894.92475254505
1987abaa,1987,a,b,a,a,min,0.02,2035,0.4166912223083523,13.888318229610507,944627328095.5049,-6.029950166848012,1.2441613727030005,17132040.419201694,149999999.99598157,0.32257263762930294,157.1547816153612,3580.668936341244,0.6946552651355486,956064.0152482393,362199.52049202466,1089212.2706513568,40121.30002996388,135600.2348505319
1987abaa,1987,a,b,a,a,max,0.02,2035,15.37633847882915,85.0962469278234,945313549568.905,-25.158833803615355,2.437603669824876,1155747226.0210428,150000000.00014216,1.6713353066934389,220.61586347526546,120469.52295863678,0.7748775732420293,784701.7615434595,421564.47457714955,1245768.293112356,40121.30065928406,1255876.0493353817
1987abaa,1987,a,b,a,a,min,0.05,2035,-0.0,6.833602387451161e-11,950998976989.5986,,214.34184552877593,-0.0,150000000.00004828,0.5792597122374057,157.1547803071613,0.0,,971808.9455476109,363656.589481905,1098176.5949692628,40121.30040610457,115216.93874848598
1987abaa,1987,a,b,a,a,max,0.05,2035,23.341842962796747,53.261811360299575,969984414533.0432,-18.398342457478723,1.4938538336635998,1068301795.998532,150000000.01046064,0.2416752270160143,265.84269117911253,179269.78857175182,0.7968050988225738,766755.4077530068,488006.8092187361,1298391.728633656,40121.30010542448,1666297.7551114496
1987abaa,1987,a,b,a,a,min,0.1,2035,-0.0,5.440912201754829e-11,949843713773.3223,,214.34180875494215,-0.0,150000000.00003168,0.4174201686610891,157.15478019787938,0.0,,971808.7795203084,363656.71614622197,1098176.5133018524,40121.3002353412,115216.22956859485
